Date,Open,High,Low,Close,Adj Close,Volume
2019-12-14,130.347916,130.865570,128.082855,128.473724,128.473724,6337903744
2019-12-15,128.469910,129.376373,125.332695,128.647919,128.647919,6503773457
2019-12-16,128.669983,128.605026,118.936012,119.975243,119.975243,8074385928
2019-12-17,120.005013,120.173500,108.859825,109.943810,109.943810,8121923165
2019-12-18,109.991287,120.007393,107.759529,119.735725,119.735725,10673854584
2019-12-19,119.700264,120.637123,113.248276,116.259438,116.259438,8598645397
2019-12-20,116.316284,117.138153,114.636665,116.515022,116.515022,7378752987
2019-12-21,116.542030,116.588699,115.202454,115.670853,115.670853,6724680406
2019-12-22,115.641220,120.185852,115.464027,119.475067,119.475067,8232366389
2019-12-23,119.415924,121.464180,114.869484,115.948944,115.948944,8674931855
2019-12-24,115.962616,118.736015,114.801193,116.383881,116.383881,7179602751
2019-12-25,116.388039,116.333313,112.563042,113.977356,113.977356,7587413113
2019-12-26,114.005920,117.932869,112.984932,113.845146,113.845146,7748955610
2019-12-27,113.851967,114.631828,111.699524,113.841682,113.841682,7426949981
2019-12-28,113.840256,116.565300,113.559875,114.833298,114.833298,7221045870
2019-12-29,114.783333,122.349709,114.467789,120.513527,120.513527,8682520244
2019-12-30,120.547989,122.088486,117.435722,118.406952,118.406952,8746111080
2019-12-31,118.388008,119.192322,114.794312,115.518661,115.518661,7965187723
2020-01-01,115.536301,118.401070,115.159210,116.588669,116.588669,7072964397
2020-01-02,116.604736,117.101593,113.641785,114.049316,114.049316,7190359199
2020-01-03,114.050278,120.573586,113.347450,120.231003,120.231003,9388280171
2020-01-04,120.228142,121.916565,119.217369,121.035393,121.035393,6658818674
2020-01-05,121.037834,124.913910,121.003181,122.106308,122.106308,6744029069
2020-01-06,122.132088,128.918549,121.550682,128.897095,128.897095,8122825927
2020-01-07,128.904083,130.030045,125.983116,128.722794,128.722794,8302052335
2020-01-08,128.672424,132.125381,124.422714,127.113251,127.113251,8447208189
2020-01-09,127.021141,127.283012,122.640144,125.109215,125.109215,6929139975
2020-01-10,125.098274,129.635254,121.859940,129.452225,129.452225,8169066729
2020-01-11,128.953476,131.703766,127.861877,128.508484,128.508484,8390766055
2020-01-12,128.603271,131.466980,128.374084,131.222351,131.222351,7671598314
2020-01-13,131.533783,131.823227,128.335190,129.520096,129.520096,7524187576
2020-01-14,129.542053,150.695419,129.471146,149.144073,149.144073,15019360521
2020-01-15,148.945694,152.800247,144.447662,149.039108,149.039108,13604430617
2020-01-16,149.130692,150.000839,143.402649,147.606033,147.606033,12332774870
2020-01-17,147.694351,156.050446,146.769073,153.986313,153.986313,13522352801
2020-01-18,153.957245,160.970123,150.384979,158.118103,158.118103,13461011586
2020-01-19,158.210007,159.766586,147.534225,150.502441,150.502441,12360892608
2020-01-20,150.443207,152.405655,146.292587,150.608337,150.608337,10043405666
2020-01-21,150.554230,153.270813,149.580994,153.078720,153.078720,8830696420
2020-01-22,152.998779,154.110474,150.294434,151.664169,151.664169,8299758781
2020-01-23,151.665573,152.250534,144.998657,147.380615,147.380615,9404716311
2020-01-24,147.354218,149.033600,142.176727,147.892319,147.892319,9666827473
2020-01-25,147.906921,148.046600,143.879181,146.284042,146.284042,7489035048
2020-01-26,146.186890,152.569946,145.369370,152.440048,152.440048,8400184296
2020-01-27,152.378159,156.924438,151.459747,155.116699,155.116699,9986364021
2020-01-28,155.074936,160.015152,154.905182,160.015152,160.015152,10681152813
2020-01-29,159.994797,162.378510,158.935028,158.935028,158.935028,9737888476
2020-01-30,158.814606,168.872330,156.282776,167.448883,167.448883,11428081834
2020-01-31,167.490967,167.106094,158.896149,162.378189,162.378189,10570990227
2020-02-01,162.336365,165.711761,162.015839,165.557083,165.557083,10428508531
2020-02-02,165.429596,174.115662,162.476898,170.091141,170.091141,12673971618
2020-02-03,170.082016,174.858429,169.955200,171.629669,171.629669,11202613931
2020-02-04,171.626648,173.022018,167.854431,171.337280,171.337280,10605396594
2020-02-05,171.381180,188.012131,171.601105,185.672256,185.672256,13514642138
2020-02-06,185.580841,195.424042,183.864548,193.367218,193.367218,14958012521
2020-02-07,193.346100,203.865570,193.964935,203.486542,203.486542,15233158162
2020-02-08,203.290024,206.999786,196.766357,203.855728,203.855728,15293942856
2020-02-09,203.705643,209.912033,203.627380,208.737946,208.737946,13726634519
2020-02-10,208.711060,210.058701,199.880829,204.869278,204.869278,14857250881
2020-02-11,204.743011,216.643814,200.222916,216.006439,216.006439,15537269480
2020-02-12,216.049500,250.484085,216.918182,244.053940,244.053940,22570375617
2020-02-13,243.728943,252.482880,238.815109,247.279205,247.279205,23797638789
2020-02-14,247.209122,263.197723,242.613358,262.423157,262.423157,21751759470
2020-02-15,262.740570,265.098145,244.006516,244.420990,244.420990,21865748342
2020-02-16,244.582993,251.697205,223.659134,239.717773,239.717773,23199662659
2020-02-17,239.713943,246.247971,225.391266,245.794327,245.794327,24014448576
2020-02-18,245.928467,262.279266,242.092804,261.186981,261.186981,24559622702
2020-02-19,261.271912,262.715179,240.298553,240.298553,240.298553,20979932493
2020-02-20,240.350266,243.888977,232.606720,239.114502,239.114502,21533633225
2020-02-21,239.060425,245.854324,236.996170,244.872086,244.872086,19239002841
2020-02-22,244.826859,245.585022,238.694611,241.846237,241.846237,15585840755
2020-02-23,241.797073,252.595154,241.504013,252.595154,252.595154,18072157793
2020-02-24,252.549881,254.314987,238.836197,244.470657,244.470657,20648606692
2020-02-25,244.532394,244.637314,226.825409,227.784012,227.784012,20110193302
2020-02-26,227.712891,229.672729,203.313873,207.343750,207.343750,24103973303
2020-02-27,207.349976,216.295609,195.168610,206.167587,206.167587,23317294003
2020-02-28,206.380539,213.153564,196.708679,205.633911,205.633911,20461354107
2020-02-29,205.700058,210.610077,199.358414,199.358414,199.358414,16486781372
2020-03-01,199.271515,205.551270,194.173264,198.146500,198.146500,16450907778
2020-03-02,197.912155,208.370789,196.620544,206.905945,206.905945,18221584703
2020-03-03,206.864822,208.954987,198.410370,200.843262,200.843262,17762757987
2020-03-04,200.919968,204.281570,199.439148,201.587509,201.587509,14875046682
2020-03-05,201.698761,209.477539,201.698761,204.293320,204.293320,16218570467
2020-03-06,204.204422,215.794098,203.851929,215.767792,215.767792,17166396964
2020-03-07,215.967056,221.484436,210.473770,210.741165,210.741165,17216715739
2020-03-08,210.677017,210.677017,176.164932,176.257172,176.257172,18778800440
2020-03-09,176.809982,181.824509,168.295380,177.222809,177.222809,20746499058
2020-03-10,177.992844,180.793411,174.507690,177.402359,177.402359,16209983800
2020-03-11,177.403046,179.248627,163.408844,173.030396,173.030396,15081372782
2020-03-12,172.915298,173.205307,99.415146,100.446304,100.446304,19790030605
2020-03-13,100.752853,122.902138,85.104950,119.554619,119.554619,25009753104
2020-03-14,119.896278,120.673363,109.842995,110.642990,110.642990,11432356935
2020-03-15,110.589188,118.132042,109.339767,112.269150,112.269150,11404284683
2020-03-16,112.073517,112.073517,94.189339,99.105408,99.105408,14322842165
2020-03-17,98.927017,106.885513,98.927017,103.461388,103.461388,10975586489
2020-03-18,103.384109,105.169769,102.310097,104.801155,104.801155,10602058561
2020-03-19,104.798920,131.743607,104.701309,128.144714,128.144714,15382515704
2020-03-20,128.196701,140.511429,114.919388,123.333008,123.333008,17617082488
2020-03-21,123.671768,126.327347,118.143524,123.397346,123.397346,12713416542
2020-03-22,123.427483,126.493866,115.010078,115.322289,115.322289,11687080937
2020-03-23,115.364220,125.333969,114.094788,125.333969,125.333969,13145349831
2020-03-24,125.596428,131.091461,123.564514,128.496567,128.496567,13528362818
2020-03-25,128.638733,130.464371,123.441170,125.083939,125.083939,12337113734
2020-03-26,125.079155,125.703865,122.702454,125.245155,125.245155,10289667551
2020-03-27,125.252739,126.405167,119.941429,119.941429,119.941429,10205374676
2020-03-28,120.026321,120.026321,113.678772,117.282036,117.282036,10889912446
2020-03-29,117.307854,117.449989,112.775208,112.717049,112.717049,8919922183
2020-03-30,112.711815,121.435074,112.599716,120.509064,120.509064,10736749100
2020-03-31,120.433243,121.661766,119.532402,121.157471,121.157471,10035193602
2020-04-01,121.174484,123.837738,118.753632,123.837738,123.837738,11373154742
2020-04-02,123.926865,135.419754,123.926865,130.969910,130.969910,14129731738
2020-04-03,131.044876,136.176193,129.434845,131.513321,131.513321,12203075601
2020-04-04,131.627975,134.546402,129.682480,134.400253,134.400253,11056608323
2020-04-05,134.438782,135.241653,131.515182,132.834915,132.834915,10439183287
2020-04-06,132.891876,156.718033,132.833023,156.591415,156.591415,20031655305
2020-04-07,156.602127,160.940765,150.636841,151.532211,151.532211,19879164436
2020-04-08,151.659225,159.563385,150.991592,158.952805,158.952805,15710159714
2020-04-09,159.062851,159.086884,154.663223,156.338760,156.338760,13639433130
